Date,Title,compound,positive,negative,neutral,Compare
20/10/2021,UPDATE 2-Britain fines Facebook $70 mln for breaching order in Giphy deal,0,0,0,1,1
20/10/2021,Investing in Facebook Stock (FB),0,0,0,1,1
20/10/2021,Facebook doesnt need a new name. It needs new people.,0,0,0,1,1
20/10/2021,TBJ Plus: Major player in Triangle real estate goes international; Cary's SAS among best workplaces in the world; More momentum for local housing market,0.6369,0.154,0,0.846,1
20/10/2021,"Facebook might be changing its name, but its controversies will continue to follow it",0,0,0,1,1
20/10/2021,Enter the Zuckerverse? Social media churns with new names for Facebook,0,0,0,1,1
20/10/2021,Facebook plans to change its name to help the company rebrand: rpt,0.4019,0.197,0,0.803,1
20/10/2021,Facebook fined $69.4 million by U.K. for failing to supply data during Giphy investigation,-0.5106,0,0.202,0.798,1
20/10/2021,"Column: Facebook, fooling no one, may be going for a new name",-0.5994,0,0.329,0.671,1
20/10/2021,Facebook's 'Metaverse' Gamble: Is A Name Change In The Works?,0,0,0,1,1
20/10/2021,PayPal Is Exploring a Purchase of Pinterest,0,0,0,1,1
20/10/2021,The easy way to rein in Facebook and Google: stop them from gobbling up potential competitors,0.1779,0.152,0.115,0.733,1
20/10/2021,"Changing Facebook's name will not deter lawmaker or regulatory scrutiny, experts say",0,0,0,1,1
20/10/2021,WhatsApp Introduces Catalogue Collections,0,0,0,1,1
20/10/2021,Facebook Spent $5.1 Million Lobbying as Whistleblower Leaks Spark Scrutiny,0.1531,0.17,0.116,0.714,1
20/10/2021,Facebooks smart glasses could invade your privacy in new ways,0.4019,0.231,0,0.769,1
20/10/2021,Facebook fined £50 million in latest regulatory punishment over Giphy acquisition,-0.4939,0,0.242,0.758,1
20/10/2021,Facebook stock looks silly cheap: analyst,0.0258,0.18,0,0.82,1
20/10/2021,DC AG adds Zuckerberg as defendant in lawsuit against Facebook,-0.2263,0,0.174,0.826,1
20/10/2021,"Analyst calls Coinbase a 'must own' stock, sees price going to $600",0,0,0,1,1
20/10/2021,Facebook fined £50.5m by UK's competition regulator over Giphy buyout,0,0,0,1,1
20/10/2021,Facebook May Be Changing Its Name. Investors Arent Rewarding the Current One.,-0.4168,0,0.202,0.798,1
20/10/2021,First-ever bitcoin ETF spurs bitcoin to new all-time high,0,0,0,1,1
20/10/2021,"Urban Outfitters, Anheuser-Busch InBev, Snap, Facebook and Unity Software highlighted as Zacks Bull and Bear of the Day",0,0,0,1,1
20/10/2021,"Mark Zuckerberg May Be Personally Exposed in Facebook Privacy Lawsuit, Report Says",-0.296,0,0.242,0.758,1
20/10/2021,Facebook Is Reportedly Going to Change Its Corporate Name,0,0,0,1,1
20/10/2021,Why Accenture is giving VR headsets to thousands of new hires,0.34,0.194,0,0.806,1
20/10/2021,Facebook fined £50.5m over handling of Giphy takeover probe,0,0,0,1,1
20/10/2021,Coinbase Becomes Custody Partner of Facebooks Digital Wallet; Stock Up,0,0,0,1,1
20/10/2021,Facebook to change name to focus on the metaverse: report,0,0,0,1,1
20/10/2021,What should Facebooks new name be? Twitter users have some ideas,0,0,0,1,1
20/10/2021,"3 FAANG Stocks With 47% to 55% Upside, According to Wall Street",0,0,0,1,1
20/10/2021,Pinterest Q3 Earnings: Here's What to Look For,0,0,0,1,1
20/10/2021,Facebook may adopt new name in an alpha bet on the metaverse,0.1779,0.134,0,0.866,1
20/10/2021,"Facebook is getting a new name, report claims",0,0,0,1,1
21/10/2021,"Facebook has 'not been fully forthcoming' around 'crosscheck' program for high-profile users, oversight board says",0,0,0,1,0
21/10/2021,Facebook's oversight board seeks more transparency on high-profile users,0,0,0,1,0
21/10/2021,UPDATE 1-Facebook signs copyright agreement with some French publishers,0.4939,0.286,0,0.714,0
21/10/2021,10 Tech Stock Picks of Seth Wunders Black-And-White Capital,0,0,0,1,0
21/10/2021,Facebook signs copyright agreement with some French publishers,0.4939,0.314,0,0.686,0
21/10/2021,Facebook signs copyright agreement with some French publishers,0.4939,0.314,0,0.686,0
21/10/2021,Top 9 Stocks to Buy According to Patrick Degorces Theleme Partners,0.2023,0.153,0,0.847,0
21/10/2021,Influencers with Andy Serwer: Julie Sweet,0.4588,0.375,0,0.625,0
21/10/2021,Facebook given sharp warning by its own watchdog over special rules for celebrities,0.0772,0.168,0.149,0.683,0
21/10/2021,Trump Plans to Regain Social Media Presence With New Company,0,0,0,1,0
21/10/2021,"MTN Eswatini says ordered to suspend access to Facebook, messenger app",-0.3182,0,0.187,0.813,0
21/10/2021,"Facebook, Twitter Edge Lower, DWA Soars as Trump Eyes Return to Social Media",-0.296,0,0.155,0.845,0
21/10/2021,PRESS DIGEST- Wall Street Journal - Oct. 21,0,0,0,1,0
21/10/2021,FCA calls for law change for online content as scam reports rocket,-0.5719,0,0.252,0.748,0
21/10/2021,UPDATE 1-Eswatini tells mobile operators to suspend Facebook access after protests,-0.4939,0,0.318,0.682,0
21/10/2021,UPDATE 2-Facebook's oversight board seeks more transparency on high-profile users,0,0,0,1,0
21/10/2021,Why some CEOs arent requiring vax mandates,0,0,0,1,0
21/10/2021,Facebook (FB) to Report Q3 Earnings: What's in the Cards?,0,0,0,1,0
21/10/2021,"Facebook struggling to count duplicate user accounts, report says",-0.4215,0,0.259,0.741,0
21/10/2021,Snap points to possibility of Apple causing the long-feared ad-mageddon,0,0,0,1,0
21/10/2021,Snap Fourth-Quarter Revenue Outlook Falls Short As Stock Plunges,0,0,0,1,0
21/10/2021,"Snap Plummets as Apple Changes, Supply Chain Weigh on Ads",0,0,0,1,0
21/10/2021,Google Whistle-Blower Says Speaking Out Is Harder Than It Seems,0,0,0,1,0
21/10/2021,Becky G Lands Talk Show on Facebook Watch,0,0,0,1,0
21/10/2021,Truth Social: Trumps new social network will benefit from the very law he tried to destroy,0.2023,0.243,0.161,0.596,0
21/10/2021,Russian court sends bailiffs to enforce collection of more unpaid Facebook fines,0,0,0,1,0
21/10/2021,Facebook and Alphabet Pummeled After Snap Warns on Ads,-0.1027,0,0.149,0.851,0
21/10/2021,"Trump-tied SPAC soars +350%, retail traders pile on",0,0,0,1,0
21/10/2021,Facebook Will Pay French Newspapers for Using Their News,-0.1027,0,0.149,0.851,0
21/10/2021,11 Safe Stocks To Buy According To Hedge Funds,0.4404,0.266,0,0.734,0
21/10/2021,Facebooks Possible Name Change Has Everyone Talking. History Says Its a Tricky Business.,-0.1531,0,0.118,0.882,0
21/10/2021,"FDA OKs Moderna and J&J booster, Trump launches new social media platform, Evergrande asset sale collapses",0.0772,0.134,0.118,0.749,0
21/10/2021,Trump Announces Social Media Platform Funded by SPAC,0,0,0,1,0
21/10/2021,"Facebook hasn't been 'fully forthcoming,' says its oversight board",0,0,0,1,0
21/10/2021,Russian court sends bailiffs to enforce collection of more unpaid Facebook fines,0,0,0,1,0
21/10/2021,"Facebook hid rules that led to Trump ban, says its supreme court",-0.1027,0.205,0.284,0.511,0
22/10/2021,"Snap Stock Plunges As Digital Advertising Ecosystem Takes Hit From Apple, Supply Chain Issues",0,0,0,1,0
22/10/2021,"Previewing Big Tech Earnings: Apple, Microsoft and Other Giants",0,0,0,1,0
22/10/2021,"Dow ends at all-time high, U.S. stocks book weekly gains despite tech under pressure",0.5086,0.263,0,0.737,0
22/10/2021,Snaps Record Rout Leads $142 Billion Social-Media Selloff,0,0,0,1,0
22/10/2021,"Snap stock suffers record decline, but dont expect the same from Facebook and Google",-0.2617,0,0.136,0.864,0
22/10/2021,How to Invest in the Metaverseand Find It,0,0,0,1,0
22/10/2021,Facebook Faulted by Staff Over Jan. 6 Insurrection: Abdication,-0.34,0,0.231,0.769,0
22/10/2021,How to Invest in the Metaverseand Find It,0,0,0,1,0
22/10/2021,"FACEBOOK INVESTIGATION CONTINUED BY FORMER LOUISIANA ATTORNEY GENERAL:  Kahn Swick & Foti, LLC Continues to Investigate the Officers and Directors of Facebook, Inc. - FB",0,0,0,1,0
22/10/2021,"Facebook Was Not Prepared to Deal With Jan. 6 Insurrection, According to Newly Leaked Documents",-0.4526,0,0.234,0.766,0
22/10/2021,Apple Has Upended the Online Ad Market. Snap Is Just the Beginning of the Pain.,-0.5106,0,0.191,0.809,0
22/10/2021,The bad news for Facebook does not extend to its earnings  yet,-0.6147,0,0.334,0.666,0
22/10/2021,Will International User Growth Aid Facebook's (FB) Q3 Earnings?,0.3818,0.245,0,0.755,0
22/10/2021,3 Stocks to Keep an Eye on Ahead of Next Week's Earnings,0,0,0,1,0
22/10/2021,The problem with Trumps new media company,-0.4019,0,0.31,0.69,0
22/10/2021,"US STOCKS-S&P 500, Dow scale new peaks; Nasdaq hit by Facebook",0,0,0,1,0
22/10/2021,Snaps stock gets hammered as Apples privacy crackdown stings advertisers,0,0,0,1,0
22/10/2021,"Facebook is going to change its name, report claims",0,0,0,1,0
22/10/2021,Snap plummets as Apples privacy change hits sales,0,0,0,1,0
22/10/2021,Why Facebook Shares Are Sliding Today,0.296,0.306,0,0.694,0
22/10/2021,"Dow Jones Futures: Snap Crashes, Intel Tumbles On Earnings; Donald Trump Makes SPACs Great Again",0.6249,0.227,0,0.773,0
22/10/2021,Heres why Facebook changing its name could boost its stock,0.4019,0.231,0,0.769,0
22/10/2021,Accenture CEO: Companies lag on gender diversity because they see 'an HR issue as opposed to a business issue,-0.34,0,0.118,0.882,0
22/10/2021,Snap Warning Feeds Concerns Over Social Media Ad Splurge,-0.34,0,0.231,0.769,0
22/10/2021,"Facebook Under Duress, Will It Affect Q3 Earnings? Analyst Weighs In",0,0,0,1,0
22/10/2021,"Facebook, Alphabet Lower as Apple Privacy Changes Spook Snap",-0.296,0,0.216,0.784,0
22/10/2021,This Robot Trader Dumped Facebook and Bet Big on Energy. What Else It Bought.,-0.1531,0.125,0.161,0.714,0
22/10/2021,"Why Snap, Facebook, and Pinterest Stocks Plunged Today",0,0,0,1,0
23/10/2021,3 No-Brainer Stocks to Buy If There's a Stock Market Crash,-0.4019,0,0.213,0.787,0
11/10/2021,3 Top Stocks to Invest $100 In Right Now,0.2023,0.184,0,0.816,1
11/10/2021,Bank earnings will outperform expectations: Brigg Macadam Founding Partner,0,0,0,1,1
11/10/2021,Use Options To Gauge How Much Bank Stocks Will Move On Earnings,0,0,0,1,1
11/10/2021,Big banks kick off earnings season this week  heres what to watch,0,0,0,1,1
11/10/2021,Inflation is here. It's ugly. It stings. But it could make you money: Morning Brief,-0.2846,0,0.133,0.867,1
11/10/2021,IPO Watch: EDF's charging firm Pod Point plans London Stock Exchange listing,0,0,0,1,1
11/10/2021,Will bank stocks wild rally continue? Here are the numbers to watch in this weeks earnings,0,0,0,1,1
11/10/2021,Traders Bet BOE Will Raise Rates This Year Amid Hawkish Signals,0,0,0,1,1
11/10/2021,"Starbucks Gains After BofA, Deutsche Call It a Buy",0.34,0.231,0,0.769,1
12/10/2021,Investors should fasten their seat belts this earnings season: Wall Street Alliance Group Partner,0,0,0,1,0
12/10/2021,"Bank of America, Truist and Wells Fargo will report third-quarter earnings this week. Here's what to watch",0.25,0.111,0,0.889,0
12/10/2021,What investors should focus on heading into Q3 earnings season,0,0,0,1,0
12/10/2021,15 Best Bank Stocks To Buy Now,0.6369,0.412,0,0.588,0
12/10/2021,Black Rocks Larry Fink blames gig economy for stoking inflation,-0.4019,0,0.231,0.769,0
12/10/2021,GlobalFoundries Files for Capital Raise Amid Chip Boom,0,0,0,1,0
12/10/2021,"BofA Advances Global B2C Payments With ""Recipient Select""",0,0,0,1,0
12/10/2021,2 Numbers to Watch When Bank of America Reports Earnings,0,0,0,1,0
12/10/2021,Zapp Bets on Convenience Not Coupons in London Grocery War,-0.5994,0,0.302,0.698,0
12/10/2021,JPMorgan (JPM) Option Traders Pessimistic Into Earnings,-0.3612,0,0.294,0.706,0
13/10/2021,Oil Dips With OPEC Voicing Caution on Strength of Global Demand,0.4019,0.234,0.109,0.657,1
13/10/2021,Bank of America (BAC) Option Traders Expect Strong Earnings,0.5106,0.292,0,0.708,1
13/10/2021,Bank of America Earnings: What to Look For From BAC,0,0,0,1,1
13/10/2021,"Modest Loan Demand, Equity Trading to Aid BofA (BAC) Q3 Earnings",-0.128,0,0.13,0.87,1
13/10/2021,2 Supercharged Stocks Near 52-Week Highs Despite the Market Pullback,0,0,0,1,1
14/10/2021,Bank of America profit boosted by reserve release,0.6597,0.474,0,0.526,1
14/10/2021,Bank of America Reports Third-Quarter 2021 Financial Results,0,0,0,1,1
14/10/2021,UPDATE 3-Bank of America profit beats on strength across businesses,0.7269,0.433,0,0.567,1
14/10/2021,Bank of America Reports Third-Quarter 2021 Financial Results,0,0,0,1,1
14/10/2021,Boston explores creating a climate bank using BofA grant,0.5719,0.402,0,0.598,1
14/10/2021,Big banks warn that Fed-induced market volatility is coming soon,-0.1027,0,0.135,0.865,1
14/10/2021,BofA Tops Estimates as Surge in M&A Boosts Advisory Fees,0.6808,0.412,0,0.588,1
14/10/2021,Bank of America Earnings: What Happened with BAC,0,0,0,1,1
14/10/2021,"Bank of America execs tout promising outlook as net interest income, loans start to improve",0.7964,0.408,0.071,0.521,1
14/10/2021,Bank of America Quarterly Profit Rises 58% on Higher Interest Income,0.7096,0.396,0,0.604,1
14/10/2021,Why Bank of America Stock Jumped Today,0,0,0,1,1
14/10/2021,Bank of America's third-quarter profit soars past analysts' expectations with $1.1B reserve release,0.4404,0.195,0,0.805,1
14/10/2021,"Bank of America Stock Gains As Lending, Deal Fees Drive Q3 Earnings Beat",0.34,0.167,0,0.833,1
14/10/2021,Bank of America (BAC) Tops Q3 Earnings and Revenue Estimates,0.5106,0.268,0,0.732,1
14/10/2021,"Premarket Movers Thursday - Bank of America, UnitedHealth, UPS",0,0,0,1,1
14/10/2021,Bank of America Earnings Beat Estimates. Its Stock Is Risingfor Once.,0,0,0,1,1
14/10/2021,"US STOCKS-Wall St jumps as earnings, economic data lift optimism",0.5423,0.28,0,0.72,1
14/10/2021,"Wall Street rewards Bank of America, Morgan Stanley and Citi, while Wells Fargo shares fall",0.743,0.378,0,0.622,1
14/10/2021,Bank of America Stands Out From the Pack,0,0,0,1,1
14/10/2021,Banking revenues are in 'record environment' and are only going to get better: Analyst,0.4404,0.182,0,0.818,1
14/10/2021,"S&P 500 in Rally as Bank Earnings Delight, Bulls Dip Into Chips",0.5994,0.262,0,0.738,1
14/10/2021,Who will lead Triangle's next generation of civic titans?,0,0,0,1,1
14/10/2021,Why Bank Of America Shares Are Rising Today,0.296,0.239,0,0.761,1
14/10/2021,"WRAPUP 3-U.S. banks beat profit estimates on economic rebound, deals bonanza",0.4404,0.225,0,0.775,1
14/10/2021,"S&P 500 Gains Amid Chip-Led Rally, Bullish Bank Earnings",0.34,0.231,0,0.769,1
14/10/2021,"Bank of America, Wells Fargo, Citi all beat on reserve release",0.25,0.167,0,0.833,1
14/10/2021,"BofA (BAC) Up as Q3 Earnings Top on M&A Fees, Upbeat Lending",0.2023,0.141,0,0.859,1
14/10/2021,Bank of America at Critical Level After Report,-0.3182,0,0.247,0.753,1
14/10/2021,Bank of America profit beats on strength across businesses,0.7269,0.466,0,0.534,1
14/10/2021,"U.S. banks beat profit estimates on economic rebound, deals bonanza",0.4404,0.244,0,0.756,1
15/10/2021,"UPDATE 1-U.S. banks see wealth management boom on borrowing, new assets",0.5994,0.353,0,0.647,1
15/10/2021,"U.S. banks see wealth management boom on borrowing, new assets",0.5994,0.38,0,0.62,1
15/10/2021,"U.S. banks see wealth management boom on borrowing, new assets",0.5994,0.38,0,0.62,1
15/10/2021,Insiders are Selling Bank of America (NYSE: BAC) as it Approaches Our Intrinsic Value Point,0.34,0.146,0,0.854,1
15/10/2021,Global Copper Inventories Are Getting Critically Low,-0.2732,0,0.259,0.741,1
15/10/2021,"Company News for Oct 15, 2021",0,0,0,1,1
15/10/2021,Why Goldman Sachs is likely the best investment bank after Q3 beat,0.6369,0.276,0,0.724,1
15/10/2021,Bank Stocks: Goldman Sachs Stock Gaps Up On Earnings Beat,0,0,0,1,1
15/10/2021,Powder still dry on M&A frenzy as banks rake in record profits,0.1531,0.191,0.151,0.658,1
15/10/2021,Bank of America Declares Preferred Stock Dividends for Fourth Quarter 2021,0,0,0,1,1
15/10/2021,Bank Stocks Didnt Rally on Third-Quarter Earnings. What Investors Want to See Now,0.0772,0.098,0,0.902,1
15/10/2021,Bank Stocks Didnt Rally on Third-Quarter Earnings. What Investors Want to See Now,0.0772,0.098,0,0.902,1
15/10/2021,The bull case for bank stocks heading into next year,0,0,0,1,1
15/10/2021,BofA Sells $3.25 Billion of Bonds After Strong Earnings Report,0.5106,0.268,0,0.732,1
15/10/2021,Bank of America (BAC) Q3 2021 Earnings Call Transcript,0,0,0,1,1
16/10/2021,Jamie Dimon keeps blasting Bitcoin as 'worthless'  try these 3 safe havens instead,0,0.173,0.173,0.655,1
16/10/2021,4 Reasons to Like Bank of America's Recent Earnings Results,0.3612,0.217,0,0.783,1
17/10/2021,"In a world of paltry 0.06% interest rates, these income stocks yield up to 10.2%",0.4588,0.176,0,0.824,1
17/10/2021,The Big Storylines Ahead of the Big Banks' Earnings,0,0,0,1,1
18/10/2021,10 Best Financial Services and Bank Stocks to Buy According to Daniel Johnsons Gillson Capital,0.6369,0.231,0,0.769,1
18/10/2021,Supply chain issues are a cover for the inflation the Fed has created: Opimas CEO,0.25,0.125,0,0.875,1
18/10/2021,EDF confirms £120m Pod Point London IPO,0,0,0,1,1
18/10/2021,3 No-Brainer Stocks to Invest $500 In Right Now,0,0,0,1,1
18/10/2021,American Express commits to a future of hybrid work,0.0258,0.121,0,0.879,1
19/10/2021,BofA warns of 0% returns over the next 10 years  but here's the 1 key strategy to fight it,-0.5574,0,0.213,0.787,1
19/10/2021,Bank of America's loan portfolio for CDFIs tops $2B faster than anticipated,0.5106,0.231,0,0.769,1
19/10/2021,The market reacting positively to earnings isnt because theyre so great: Sevens Report Research Pres.,0.8638,0.399,0,0.601,1
19/10/2021,Bank of America's Community Development Financial Institution Loan Portfolio Surpasses $2 Billion,0,0,0,1,1
19/10/2021,3 Warren Buffett Stocks I Plan to Hold Forever,0,0,0,1,1
19/10/2021,"GlobalFoundries, Mubadala Seek to Raise $2.6 Billion in IPO",0,0,0,1,1
20/10/2021,No Place like Home: First-Generation Homeowners Say Owning a Home is More Important Now than Ever Before,-0.2998,0.103,0.211,0.686,1
20/10/2021,Why Accenture is giving VR headsets to thousands of new hires,0.34,0.194,0,0.806,1
20/10/2021,"Bank of Americas California Partnership, Long Flourishing, Is Roiled by Unemployment Fraud",-0.7717,0,0.401,0.599,1
20/10/2021,Bank of America Gains on Renewing $25 Billion Buyback,0.34,0.231,0,0.769,1
20/10/2021,Bank of America shuts down bank account of FDA-approved cannabis research firm,0,0,0,1,1
20/10/2021,"Bank of America Sets Q4-21 Stock Dividend, Renews $25 Billion Repurchase Plan",0,0,0,1,1
20/10/2021,All You Need to Know About Bank of America (BAC) Rating Upgrade to Buy,0,0,0,1,1
20/10/2021,Bank of America keeping dividend steady for fourth quarter,0,0,0,1,1
20/10/2021,Has Bank of America (BAC) Outpaced Other Finance Stocks This Year?,0,0,0,1,1
21/10/2021,Bank of America Launches Business Advantage Unlimited Cash Rewards Card for Entrepreneurs,0.6249,0.338,0,0.662,0
21/10/2021,Bank of America Renews $25B Share Buyback Plan,0.296,0.239,0,0.761,0
21/10/2021,Bank of America launches way to help women entrepreneurs find funding,0.4019,0.213,0,0.787,0
22/10/2021,Millennials embrace the American Express card: CEO,0.3182,0.277,0,0.723,0
22/10/2021,Is Bank of America Corp. (BAC) A Great Stock to Invest In?,0.6249,0.272,0,0.728,0
22/10/2021,Are You Looking for a Top Momentum Pick? Why Bank of America (BAC) is a Great Choice,0.7096,0.282,0,0.718,0
22/10/2021,"Frontdoor names Ralph Lauren, Bank of America execs to board of directors",0,0,0,1,0
